Blog		better	mark	model	process	things	non	level	thing	think	old	away	size	actually	go	day	san	point	air	say	street	everything	once	against	issue	yes	else	yet	microsoft	c	start	d	e	g	anything	minutes	m	o	really	p	u	ready	x	them	then	rather	review	full	first	months	campaign	control	heard	dead	try	inside	fox	given	group	times	were	side	online	him	stop	his	hit	details	never	follow	win	live	nearly	tell	done	clear	saying	phone	above	after	sharing	kids	problem	started	age	least	having	someone	comes	ago	little	video	wrote	says	fast	sent	came	probably	current	yesterday	who	car	especially	why	almost	points	image	david	store	hasn	itself	information	plan	media	story	version	rock	four	play	cut	author	run	doing	release	pretty	cool	another	however	call	many	note	plus	coming	edition	young	too	top	working	apps	create	hard	myself	certainly	audio	co	thanks	software	very	via	while	photos	possible	number	getting	than	until	end	three	radio	night	list	action	need	still	into	able	completely	add	everyone	wouldn	please	browser	often	system	looks	lot	might	each	youtube	bad	readers	ways	come	feel	morning	went	web	total	blogging	game	her	article	these	several	through	steve	school	love	super	off	ad	site	both	find	going	al	am	idea	buy	williams	appeared	last	security	view	according	public	good	under	make	announced	don	office	page	means	available	different	seems	us	next	comments	local	looking	enough	children	reader	recently	taken	design	takes	build	reports	anyone	likely	built	well	finally	th	iphone	great	news	apple	even	tv	ever	didn	water	nothing	friends	example	popular	other	name	movie	hand	lots	below	issues	interview	plans	juan	left	maybe	tools	gets	couple	court	themselves	wrong	its	whole	within	days	currently	apparently	early	should	later	latest	house	would	hope	become	put	debate	national	mdash	final	matter	created	wants	drive	haven	writing	com	move	where	perhaps	ideas	back	isn	quick	doesn	results	aren	re	had	before	own	watch	reason	line	right	together	war	link	entire	service	way	bill	creative	personal	hours	services	google	half	easy	head	understand	based	continue	text	order	internet	change	search	job	running	using	ask	weeks	attention	tech	million	devices	though	such	platform	does	reasons	spent	book	york	check	few	features	seem	seen	answer	simple	products	our	step	flash	years	around	website	terms	press	simply	art	pro	home	also	project	much	keep	power	read	only	large	real	piece	bring	changed	space	party	because	every	kind	most	did	facebook	took	tool	oh	meet	talk	beta	six	support	team	jobs	quite	community	look	special	guy	videos	mind	believe	drop	american	down	data	open	report	asked	money	made	she	take	no	future	called	turn	president	books	earlier	app	high	again	source	games	long	best	show	value	university	posted	business	could	same	include	year	week	me	percent	audience	happy	family	america	my	amazon	used	city	music	user	far	word	daily	october	work	among	soon	past	let	across	told	since	following	building	interesting	download	people	ll	fun	question	feature	less	free	any	give	health	during	government	launch	including	shows	related	industry	won	event	part	billion	sure	third	mac	network	two	course	want	always	man	photo	technology	see	experience	must	mean	nice	may	goes	set	questions	found	update	series	conference	white	content	companies	important	world	appears	being	camera	between	case	write	original	making	others	trying	digital	over	use	users	life	wanted	sites	talking	mobile	big	along	close	second	taking	tax	either	similar	bit	post	share	care	person	twitter	recent	said	makes	social	ipad	fact	know	front	five	links	state	true	html	country	month	something	reading	thought	got	single	without	place	blog	already	problems	obama	company	npr	those	leave	email	launched	he	computer	culture	behind	small	help	instead	nbsp	released
http://www.mezzoblue.com/rss/index.xml	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kotaku	1	2	0	0	0	2	0	0	0	1	4	0	0	2	1	1	0	0	0	0	2	1	0	0	0	0	2	1	1	0	0	1	0	0	0	0	2	0	0	1	1	1	0	0	0	0	4	1	2	0	0	0	0	3	0	0	0	0	2	0	2	1	2	0	1	3	2	0	2	0	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	20	0	4	0	2	0	0	0	2	3	0	0	1	0	0	1	0	2	0	0	0	1	0	1	1	2	3	2	0	0	0	1	1	1	0	2	0	1	2	1	0	3	0	0	1	0	2	0	0	1	0	0	0	0	0	1	1	2	0	0	0	0	1	4	2	0	1	2	0	1	1	0	0	3	0	1	1	0	0	0	0	0	3	2	0	2	2	0	2	1	0	0	1	0	1	0	0	0	22	0	0	3	0	0	0	0	0	2	5	1	0	0	0	4	0	0	1	1	0	2	1	0	0	1	0	0	1	2	0	1	0	0	1	4	0	1	1	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	5	8	0	1	0	3	1	4	0	0	0	0	0	1	0	2	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	1	0	0	3	1	2	0	1	0	1	0	1	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	1	2	0	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	2	1	0	0	0	0	0	2	0	3	1	0	1	0	1	0	3	0	0	0	5	0	0	1	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	12	0	1	1	0	0	1	0	0	0	1	3	2	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	1	2	0	0	1	0	1	0	1	3	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	2	1	1	1	0	0	2	0	0	3	1	0	1	0	1	1	1	0	1	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	2	0	0	2	0	2	0	0	1	1	1	0	3	0	0	0	39	4
http://blog.guykawasaki.com/index.rdf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Michelle Malkin	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	2	1	0	0	0	0	3	0	0	1	1	0	1	1	0	0	0	3	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	1	0	0	1	0	2	1	1	2	0	0	1	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	2	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	5	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0
gapingvoid	4	0	0	0	0	3	0	0	0	0	0	1	0	1	1	3	2	0	0	1	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	0	0	1	1	0	0	1	0	0	0	0	2	0	2	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	1	1	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	8	6	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	4	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	2	0	0	1	1	0	0
Wonkette	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	4	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
SpikedHumor - Today's Videos and Pictures	6	0	3	0	0	0	0	0	1	2	6	1	0	0	4	2	1	2	0	8	3	2	0	3	0	1	0	0	0	6	0	1	1	8	0	2	3	1	1	2	0	0	1	2	2	1	0	2	4	2	0	2	0	0	0	1	1	0	1	2	3	1	0	11	2	10	1	0	1	0	2	1	2	3	0	0	0	1	0	5	0	2	0	3	1	1	0	2	0	0	3	7	0	0	0	0	0	0	0	0	11	8	0	1	0	1	0	0	0	0	0	0	0	1	2	2	2	1	0	1	0	0	1	0	1	2	2	0	1	4	0	0	1	0	2	4	9	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	4	0	3	3	3	0	0	1	3	1	4	0	0	0	3	0	1	0	0	4	2	1	4	0	3	1	0	1	2	0	1	2	0	0	0	2	3	0	5	0	2	0	6	2	1	5	1	2	2	0	1	0	0	0	1	1	0	5	0	0	1	0	0	3	2	0	6	0	0	0	0	1	0	3	3	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	3	2	2	0	3	4	0	1	2	1	2	5	0	0	0	2	1	1	5	0	0	1	0	8	0	0	1	0	0	1	1	0	0	2	5	1	0	1	0	1	0	2	1	0	2	2	1	1	1	1	2	0	0	2	0	0	1	0	0	1	1	2	2	0	1	0	0	0	0	0	1	0	0	2	102	1	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	1	0	6	0	1	0	1	1	1	0	0	0	0	0	0	2	0	2	2	1	0	0	0	1	0	1	3	1	1	2	0	0	0	2	1	4	0	0	0	2	1	0	2	0	5	1	0	2	0	3	0	0	0	0	2	1	0	2	0	2	0	1	0	0	0	0	0	2	0	1	1	0	0	2	2	1	7	2	3	0	0	0	0	0	2	0	0	2	3	6	1	0	0	0	0	1	0	0	12	1	1	0	0	0	0	2	2	0	0	1	6	0	2	0	0	0	0	0	1	0	1	0	3	0	0	0	2	0	5	0	0	0	0	0	0	0	2	2	4	2	0	0	0	0	0	1	0	11	0	1	0	0	0	3	0	0	0	8	0	0	5	0	0	0	1	1	3	1	1	1	0	2	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	1	1	4	0	0	2	0	0	1	1	0	0	0	1	2	0	0	0	0	1	0	2	0	0	0	3	0	1	0	2	2	0	0	0	0	0	0	2	0	2	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	9	0	0	1	0	1	0	0	1
Schneier on Security	0	0	0	0	0	0	0	0	1	0	1	1	0	1	2	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	3	0	2	0	0	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	3	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0
Neil Gaiman's Journal	0	2	0	0	0	33	2	0	20	24	7	5	1	14	24	16	3	11	1	12	0	9	5	1	4	3	3	4	0	1	12	23	0	2	10	3	48	0	18	2	0	2	0	23	26	4	1	3	23	4	0	0	3	6	3	8	0	10	0	2	24	2	4	19	6	30	1	2	8	4	2	4	1	7	13	0	1	5	1	12	0	0	3	10	0	1	10	3	0	6	5	5	11	6	4	9	9	12	2	9	75	3	1	20	5	0	2	4	0	1	2	5	2	2	30	3	4	5	1	3	5	5	6	1	9	2	9	2	3	8	3	0	6	5	7	18	1	7	0	0	5	7	2	0	5	2	0	28	2	6	9	2	1	10	17	7	9	11	4	25	6	0	7	11	25	2	0	0	1	3	7	0	0	0	1	7	7	8	1	4	3	3	11	7	13	17	4	0	17	0	36	3	5	1	6	1	5	4	2	21	0	6	9	8	26	0	26	4	7	0	1	26	0	3	1	9	18	1	18	2	21	2	2	5	2	3	2	22	13	3	3	4	9	8	1	2	4	0	0	2	0	5	1	4	6	6	15	1	4	12	0	15	2	9	7	0	6	9	3	2	18	0	2	1	7	3	1	7	2	0	18	1	1	4	8	2	2	3	7	4	0	15	2	0	4	16	7	0	18	27	8	0	12	0	0	0	3	2	2	4	2	2	11	52	1	19	3	1	25	5	6	3	1	1	26	42	18	5	3	2	2	16	3	1	10	0	4	14	4	1	2	5	2	1	3	1	6	3	2	1	0	2	8	2	1	3	1	3	1	0	0	0	0	0	2	7	0	4	2	8	34	8	3	16	1	2	7	2	0	0	6	1	2	13	9	5	0	2	2	5	0	8	19	0	28	6	0	28	11	0	2	2	4	2	2	6	19	7	9	12	15	1	2	0	3	3	6	0	3	0	0	1	3	0	8	4	4	2	3	3	0	5	4	0	4	2	8	4	14	68	8	25	1	9	2	0	11	2	2	4	19	0	0	12	11	2	0	0	28	1	12	12	1	16	15	75	0	3	11	3	1	97	1	1	2	3	0	7	4	2	7	13	0	7	3	5	1	5	7	1	1	7	0	33	24	10	3	1	3	6	11	5	1	8	2	0	2	1	0	0	7	11	4	0	8	2	1	0	10	1	13	8	4	11	0	27	1	0	1	3	13	5	6	4	7	3	1	1	6	0	0	1	21	0	19	2	2	7	14	3	4	0	6	2	17	2	0	6	15	1	6	0	9	9	2	3	2	1	6	1	10	10	0	1	4	5	2	23	6	0	1	0	23	1	3	2	2	2	16	1	3	21	16	8	19	1	5	5	37	6	0	0	4	0	8	2	5	0	43	0	2	3	10	5	2	25	1
Deadspin	1	0	0	0	0	4	0	1	1	0	4	1	0	1	0	3	2	0	0	3	1	1	1	0	0	1	0	0	0	0	2	1	1	0	1	1	3	0	0	1	1	0	0	1	1	0	0	3	3	1	0	0	0	0	0	1	1	0	0	1	1	0	1	2	0	16	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	1	0	0	0	1	0	0	0	0	3	13	1	1	0	0	1	1	0	1	6	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	1	5	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	1	0	0	2	1	2	0	0	1	0	1	0	1	4	5	0	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	7	0	0	0	0	7	4	0	1	0	6	1	0	1	0	3	0	0	0	1	5	0	0	1	0	0	1	7	3	0	0	0	2	0	1	1	1	0	0	0	0	0	0	3	0	1	0	0	1	1	0	0	2	0	0	0	0	0	0	0	2	1	0	0	2	3	0	2	1	1	2	0	0	2	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	2	0	0	1	0	1	16	0	0	0	0	4	0	0	1	0	0	1	0	1	0	0	1	0	0	1	4	1	0	1	1	1	1	1	0	0	0	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	2	1	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	2	0	0	1	0	0	0	1	0	2	0	4	0	0	1	2	3	1	2	1	0	0	0	2	0	1	0	1	0	5	0	0	0	2	0	3	0	0	0	0	0	4	0	7	3	0	0	0	3	0	5	1	0	0	0	0	0	0	0	0	0	1	0	3	3	0	1	0	0	1	0	0	2	0	5	0	0	0	0	2	1	0	0	1	0	1	0	0	0	1	1	0	1	1	1	2	1	2	1	0	0	0	5	1	0	0	0	1	1	2	0	0	4	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	2	0	3	1	0	0	0	0	0	1	1	1	2	0	0	1	2	0	0	0	0	0	3	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	1	1	0	0	0	2	0	0	0	1	0	0	4	0	1	1	0	0	0	4	1	0	0	2	0	0	0	0	3	0	1	4	0	1	1	0	0	0	0	0	0	2	1	1	0	15	0	0	0	0	0	0	40	0
